sentence,sentence_clean,gold_label,label_id
"euta ko pic dekhayera arko Saman pathaune?k ho yesto?firta gardinchu,yesta jabo kasle laucha yo jhur cap?",euta ko pic dekhayera arko saman pathaune k ho yesto firta gardinchu yesta jabo kasle laucha yo jhur cap,negative,0
audio ic aipugyo aba kam kasto garxa check garna baki xa,audio ic aipugyo aba kam kasto garxa check garna baki xa,neutral,2
Ek dam ramro layo 3 set magaye ☺️🙏,ek dam ramro layo set magaye,positive,1
Euta saman order garda arko saman pathauna vayena ni,euta saman order garda arko saman pathauna vayena ni,negative,0
I love It 💞 derai ramro lagyo \nJay Shree Bholebaba,i love it derai ramro lagyo njay shree bholebaba,positive,1
120 kg lai hunna dai lai gift dinu paro 😂😂😂,kg lai hunna dai lai gift dinu paro,neutral,2
ghatiya xa yo \nna ramrari attach hunxa na ta sound quality nai ramro xa\n5 min lagaye kan dukxa,ghatiya xa yo nna ramrari attach hunxa na ta sound quality nai ramro xa n min lagaye kan dukxa,negative,0
2xl leko. thulo vayo. XL size sanga exchange garna milxa?,xl leko thulo vayo xl size sanga exchange garna milxa,negative,0
alikati majjale stretch bhayera nabasni raixa ani waterproof bhayera hola raincoat lite feel hunxa,alikati majjale stretch bhayera nabasni raixa ani waterproof bhayera hola raincoat lite feel hunxa,neutral,2
battery chai lastai chado sakido raixa. kam ta garxa.,battery chai lastai chado sakido raixa kam ta garxa,negative,0
dherai nai sano raixa,dherai nai sano raixa,negative,0
derai tight xa phone halna garo xa but thikxa kam chalau sasto wala,derai tight xa phone halna garo xa but thikxa kam chalau sasto wala,negative,0
Glasses price aanushar dherai ramro xa \n150 bhanda ni Kam xa price I just loved it 😘\nAni packaging k kura garnu parda ekdam ramro \nAni product pni ramro xa ❣️\n\nproblem kxa vaney ni chasma Dami xa 😊😁,glasses price aanushar dherai ramro xa n bhanda ni kam xa price i just loved it nani packaging k kura garnu parda ekdam ramro nani product pni ramro xa n nproblem kxa vaney ni chasma dami xa,positive,1
As expected. Tysm 😊,as expected tysm,positive,1
Aali kati sano vayo but okeeee..,aali kati sano vayo but okeeee,positive,1
3 wata pent order garda 2 wata matrai aayo,wata pent order garda wata matrai aayo,negative,0
Duplicate maal.....Saag hoina chari amilo ghas umriyo...,duplicate maal saag hoina chari amilo ghas umriyo,negative,0
dami xa aaile samma 1 months vayo use garako,dami xa aaile samma months vayo use garako,positive,1
daami xa,daami xa,positive,1
"golden bhaneko black 🖤🖤 ma aayo,..\nTara Kam chai thik xa",golden bhaneko black ma aayo ntara kam chai thik xa,positive,1
ekdam ramro lagyo❤️ delivery ni fast vayo sabai lay kinnu haii fully  satisfied xa❤️🥰,ekdam ramro lagyo delivery ni fast vayo sabai lay kinnu haii fully satisfied xa,positive,1
bag ramro lagyo 👌 pic ma dekhako jastai xa,bag ramro lagyo pic ma dekhako jastai xa,positive,1
"euta ko pic dekhayera arko Saman pathaune?k ho yesto?firta gardinchu,yesta jabo kasle laucha yo jhur cap?",euta ko pic dekhayera arko saman pathaune k ho yesto firta gardinchu yesta jabo kasle laucha yo jhur cap,negative,0
30 ml bhanera 15 ml pathako cha,ml bhanera ml pathako cha,negative,0
Chitta bujhdo xa,chitta bujhdo xa,positive,1
frequent electric shock lagira xa ke garne hola?,frequent electric shock lagira xa ke garne hola,negative,0
Ekdamei Raamro xa.,ekdamei raamro xa,positive,1
cover ta thikai xa delievery charge badi vayo.,cover ta thikai xa delievery charge badi vayo,neutral,2
Dami xa,dami xa,positive,1
Chitta bujhdo xa,chitta bujhdo xa,positive,1
babal,babal,positive,1
glass ramro bhaideko bhe jhan khatra hunthyo tesle view nai ramro diena so i am no fully satisfied,glass ramro bhaideko bhe jhan khatra hunthyo tesle view nai ramro diena so i am no fully satisfied,negative,0
Euta saman dekhayera arko saman pathaune,euta saman dekhayera arko saman pathaune,negative,0
"best 4/5, Jasto sochako tastai aayo ,well satisfied",best jasto sochako tastai aayo well satisfied,positive,1
grey magako phatako red xa yrr k aalu jsto gareako jsto magako tyestai phataye dina pardaina,grey magako phatako red xa yrr k aalu jsto gareako jsto magako tyestai phataye dina pardaina,negative,0
"hijo vakkhar laptop maa insert gare n aaj chalauda ramrai performance dekhiyako xa\nbut 1 yrs warranty vane pni warrenty card chai xaina pathayako , sirf bill xa",hijo vakkhar laptop maa insert gare n aaj chalauda ramrai performance dekhiyako xa nbut yrs warranty vane pni warrenty card chai xaina pathayako sirf bill xa,negative,0
Ekdum man paryo feri magauxu,ekdum man paryo feri magauxu,positive,1
disappoited..vaneko color pathaudaina ..🙄,disappoited vaneko color pathaudaina,negative,0
bad quality 1 barsha pani nachilikana dekhauna chadyo. mero data haru sabai gayo.,bad quality barsha pani nachilikana dekhauna chadyo mero data haru sabai gayo,negative,0
Dami xa saman j hos socheko jatikoma,dami xa saman j hos socheko jatikoma,positive,1
gr8,gr,positive,1
"got it, thank you, dekhda mitho hola jasto xa.",got it thank you dekhda mitho hola jasto xa,positive,1
Baal daami xa yo product...dhukka vayera order Garda hunxa,baal daami xa yo product dhukka vayera order garda hunxa,positive,1
Derai Ramro,derai ramro,positive,1
chaldaina kharab xa,chaldaina kharab xa,negative,0
Ekdam ramro xa size ma dherai sano xa ki jasto lageko thyo tara maile expect gare jati size raixa price pani anta dherai mahango thiyo price anusar ko size vayena vanni review le garda doubt lagirako thyo tara pic ma dekhayejastai same xa ekdam man paryo 👍,ekdam ramro xa size ma dherai sano xa ki jasto lageko thyo tara maile expect gare jati size raixa price pani anta dherai mahango thiyo price anusar ko size vayena vanni review le garda doubt lagirako thyo tara pic ma dekhayejastai same xa ekdam man paryo,positive,1
"5 OTA cables matrai aayo, Aru thikai xa lekhna chai 11 lekhnu hune theyena",ota cables matrai aayo aru thikai xa lekhna chai lekhnu hune theyena,neutral,2
charge vaxain\nreturn garne xu,charge vaxain nreturn garne xu,negative,0
dherai nai sano raixa,dherai nai sano raixa,negative,0
Inaccurate picture description padhnu purchase garnu aagadi pura purple xa bhenta jasto 😑😑,inaccurate picture description padhnu purchase garnu aagadi pura purple xa bhenta jasto,negative,0
Ekdum man paryo feri magauxu,ekdum man paryo feri magauxu,positive,1
gooood,gooood,positive,1
Chitta bujhdo xa,chitta bujhdo xa,positive,1
Dharaiiiiiiiiiiii ramro xa ♥️ \nThank you daraz 🤝,dharaiiiiiiiiiiii ramro xa nthank you daraz,positive,1
Baal daami xa yo product...dhukka vayera order Garda hunxa,baal daami xa yo product dhukka vayera order garda hunxa,positive,1
Average product… price 600 samma vako vae thik hunxa expensive,average product price samma vako vae thik hunxa expensive,neutral,2
"duplicate saman pathayo, so disappointed kaam xaina chor haru...",duplicate saman pathayo so disappointed kaam xaina chor haru,negative,0
2 din mai bigriyo .,din mai bigriyo,negative,0
"excellent, heavey wt. recommended.",excellent heavey wt recommended,positive,1
avg,average,positive,1
Akdam ramro cha 😍,akdam ramro cha,positive,1
ekdam mitho ramro pareko chha,ekdam mitho ramro pareko chha,positive,1
ekdam ramro product ❤️,ekdam ramro product,positive,1
ekdamai ramro lagyo... quality pani ramro xa .. loved it,ekdamai ramro lagyo quality pani ramro xa loved it,positive,1
gajab,gajab,positive,1
"dami fast chaleko xa tara ssd 128 vanda 256 ko kinda thik hunxa ,mero storage full huna lagi sako  around 50 gb left  ....",dami fast chaleko xa tara ssd vanda ko kind of thik hunxa mero storage full huna lagi sako around gb left,positive,1
Daami raixa sabai kura raixa,daami raixa sabai kura raixa,positive,1
dami lagyo ekdam thik xa ☺️,dami lagyo ekdam thik xa,positive,1
ekdamai khatra xa product\nphoto ma jasto xa testai xa❤️,ekdamai khatra xa product nphoto ma jasto xa testai xa,positive,1
Dami 6 product ta ramro lagyo malaita,dami product ta ramro lagyo malaita,positive,1
ekdam ramro lagyo malai hajurharule Pani purchase garda hunxa,ekdam ramro lagyo malai hajurharule pani purchase garda hunxa,positive,1
2xl leko. thulo vayo. XL size sanga exchange garna milxa?,xl leko thulo vayo xl size sanga exchange garna milxa,negative,0
babal xa,babal xa,positive,1
2xl leko. thulo vayo. XL size sanga exchange garna milxa?,xl leko thulo vayo xl size sanga exchange garna milxa,negative,0
ekdam ramro chha,ekdam ramro chha,positive,1
"best 4/5, Jasto sochako tastai aayo ,well satisfied",best jasto sochako tastai aayo well satisfied,positive,1
Alii sano bhayoo,alii sano bhayoo,negative,0
dherai ramro xa,dherai ramro xa,positive,1
550 Rupee Liyer NA Ramamro Cover Pathaeko Chh\nMatra Chorne Kam Chh Yo,rupee liyer na ramamro cover pathaeko chh nmatra chorne kam chh yo,negative,0
battery chai lastai chado sakido raixa. kam ta garxa.,battery chai lastai chado sakido raixa kam ta garxa,negative,0
Dharaiiiiiiiiiiii ramro xa ♥️ \nThank you daraz 🤝,dharaiiiiiiiiiiii ramro xa nthank you daraz,positive,1
ekdam ramro xa price aanusar worth xa . lina man huney le lida hunxa . ❤️,ekdam ramro xa price aanusar worth xa lina man huney le lida hunxa,positive,1
"euta ko pic dekhayera arko Saman pathaune?k ho yesto?firta gardinchu,yesta jabo kasle laucha yo jhur cap?",euta ko pic dekhayera arko saman pathaune k ho yesto firta gardinchu yesta jabo kasle laucha yo jhur cap,negative,0
dami lagyo 😊,dami lagyo,positive,1
Aali kati sano vayo but okeeee..,aali kati sano vayo but okeeee,positive,1
Dharaiiiiiiiiiiii ramro xa ♥️ \nThank you daraz 🤝,dharaiiiiiiiiiiii ramro xa nthank you daraz,positive,1
"excellent, heavey wt. recommended.",excellent heavey wt recommended,positive,1
dami dami ekdam ramro lagyo♥️,dami dami ekdam ramro lagyo,positive,1
2 din mai bigriyo .,din mai bigriyo,negative,0
good\nramro xa\naley delay vayo \n,good nramro xa naley delay vayo n,positive,1
chaldaina kharab xa,chaldaina kharab xa,negative,0
"duplicate saman pathayo, so disappointed kaam xaina chor haru...",duplicate saman pathayo so disappointed kaam xaina chor haru,negative,0
daami,daami,positive,1
Aali kati sano vayo but okeeee..,aali kati sano vayo but okeeee,positive,1
ek daami ramro xa delivery dheri chito auuxa under 30hrs,ek daami ramro xa delivery dheri chito auuxa under hrs,positive,1
Babal  quality ramro xa lida hunxa,babal quality ramro xa lida hunxa,positive,1
"dherai nai ramro, mulayam chha jinis. malai chai man paryo",dherai nai ramro mulayam chha jinis malai chai man paryo,positive,1
good but mirror vako vaye jhan ramro hunthiyo,good but mirror vako vaye jhan ramro hunthiyo,neutral,2
2xl leko. thulo vayo. XL size sanga exchange garna milxa?,xl leko thulo vayo xl size sanga exchange garna milxa,negative,0
3 wata pent order garda 2 wata matrai aayo,wata pent order garda wata matrai aayo,negative,0
ekdam ramro lagyu malai Yu products. feri malai order garnu xa Tara ahile Xena rhahexa. product ekdam ramro xa thankyou daraz. plz I want this product more.,ekdam ramro lagyu malai yu products feri malai order garnu xa tara ahile xena rhahexa product ekdam ramro xa thankyou daraz plz i want this product more,positive,1
"An okay... pasal ma leko Vaya ramrai quality authyo... Purano thotro stock vidayara swastha sanga khelbad garne online Lai kada karbahi garnai parxa, hamile ya Yo Daraaz ko consumer group le. vayana yasto",an okay pasal ma leko vaya ramrai quality authyo purano thotro stock vidayara swastha sanga khelbad garne online lai kada karbahi garnai parxa hamile ya yo daraaz ko consumer group le vayana yasto,negative,0
Awesome Product❤️\nahile Aayeko bela check gareko thikai chalyo Agari heram kasto rahixa\nalik dhila deliver vayo tara thikai x election ko karan le dhila vako hola\nthank you so much Seller ji\nand Daraj ji. 🤣🤣🤣🤣,awesome product nahile aayeko bela check gareko thikai chalyo agari heram kasto rahixa nalik dhila deliver vayo tara thikai x election ko karan le dhila vako hola nthank you so much seller ji nand daraj ji,positive,1
Aali kati sano vayo but okeeee..,aali kati sano vayo but okeeee,positive,1
Average product… price 600 samma vako vae thik hunxa expensive,average product price samma vako vae thik hunxa expensive,neutral,2
dammi,dammi,positive,1
"An okay... pasal ma leko Vaya ramrai quality authyo... Purano thotro stock vidayara swastha sanga khelbad garne online Lai kada karbahi garnai parxa, hamile ya Yo Daraaz ko consumer group le. vayana yasto",an okay pasal ma leko vaya ramrai quality authyo purano thotro stock vidayara swastha sanga khelbad garne online lai kada karbahi garnai parxa hamile ya yo daraaz ko consumer group le vayana yasto,negative,0
Build quality ramro xw🌙\nDelivery chai ali dhila gardinu vayo🫡\nTwrw saman ramro xw worth it💰,build quality ramro xw ndelivery chai ali dhila gardinu vayo ntwrw saman ramro xw worth it,positive,1
I love It 💞 derai ramro lagyo \nJay Shree Bholebaba,i love it derai ramro lagyo njay shree bholebaba,positive,1
Harek manchele padhnai parne book !,harek manchele padhnai parne book,positive,1
good products ☺️\nthanks,good products nthanks,positive,1
disappoited..vaneko color pathaudaina ..🙄,disappoited vaneko color pathaudaina,negative,0
euta ma Ali koreko raixa dotpen le... tei Pani thikai xa...,euta ma ali koreko raixa dotpen le tei pani thikai xa,positive,1
earphone baliyo xaina. futne ra chhtney bhaihaalxa,earphone baliyo xaina futne ra chhtney bhaihaalxa,negative,0
good\nramro xa\naley delay vayo \n,good nramro xa naley delay vayo n,positive,1
Ekdamaii man paryoo,ekdamaii man paryoo,positive,1
hello namaste .\nmaele newborn ko shoes order gareko ulto parexa  return garnu paryo,hello namaste nmaele newborn ko shoes order gareko ulto parexa return garnu paryo,negative,0
Dami,dami,positive,1
dherai ramro xa,dherai ramro xa,positive,1
dupe vayeni ramro xa,dupe vayeni ramro xa,positive,1
Ekdam maan paryo malai chai,ekdam maan paryo malai chai,positive,1
2 litre ko bhanera order gareko.. auda 1.8litre ko matra aayo,litre ko bhanera order gareko auda litre ko matra aayo,negative,0
battery chai lastai chado sakido raixa. kam ta garxa.,battery chai lastai chado sakido raixa kam ta garxa,negative,0
disappoited..vaneko color pathaudaina ..🙄,disappoited vaneko color pathaudaina,negative,0
Ekdam man paryo,ekdam man paryo,positive,1
"Good side\npani 4,5 min mai tatdo raixa \n automatic banda hune \npocket ni xa \n3 hours samma pani tato thyo \nBad side\nplug alik daro rainaxa \nalik kam pani raxa\nYo kami we can adjust yetiko price ma \nso overall 5star product",good side npani min mai tatdo raixa n automatic banda hune npocket ni xa n hours samma pani tato thyo nbad side nplug alik daro rainaxa nalik kam pani raxa nyo kami we can adjust yetiko price ma nso overall star product,positive,1
Ekdum man paryo feri magauxu,ekdum man paryo feri magauxu,positive,1
Ekdum mittho yummy 😋🤤,ekdum mittho yummy,positive,1
As expected. Tysm 😊,as expected tysm,positive,1
Daami raixa sabai kura raixa,daami raixa sabai kura raixa,positive,1
Ekdamai ramro product xa🥰🥰❤️,ekdamai ramro product xa,positive,1
damaged piece raixa.... return garnu k garna parxa?,damaged piece raixa return garnu k garna parxa,negative,0
expired saman check garera pathaunu pardaina? beware buyers,expired saman check garera pathaunu pardaina beware buyers,negative,0
3 hour suruma chalx ani 1 hrs chalx,hour suruma chalx ani hrs chalx,negative,0
good products ☺️\nthanks,good products nthanks,positive,1
"amazing products😊\nThanks,👌",amazing products nthanks,positive,1
😍 got it and love it ! ❤️ suruma  tah la stickers ra charm tah raina xa aauta daekhayaera aarko bachyo 😫 lagyathyo but bhitra raixa 😝 ani aarko kura 6 ota charm hunu parnaema 4 ota matra pathaunu vako raixa 😞 otherthen that its wow 🥰,got it and love it suruma tah la stickers ra charm tah raina xa aauta daekhayaera aarko bachyo lagyathyo but bhitra raixa ani aarko kura ota charm hunu parnaema ota matra pathaunu vako raixa otherthen that its wow,positive,1
😍 got it and love it ! ❤️ suruma  tah la stickers ra charm tah raina xa aauta daekhayaera aarko bachyo 😫 lagyathyo but bhitra raixa 😝 ani aarko kura 6 ota charm hunu parnaema 4 ota matra pathaunu vako raixa 😞 otherthen that its wow 🥰,got it and love it suruma tah la stickers ra charm tah raina xa aauta daekhayaera aarko bachyo lagyathyo but bhitra raixa ani aarko kura ota charm hunu parnaema ota matra pathaunu vako raixa otherthen that its wow,positive,1
2 ta mqtrai deara zhan 2 ta maga ko 5x2 dincha bhanera saaf thagi. (it literally states 5 layers 6 pcs ) ang gives you 2 pcs. so sad Daraz,ta mqtrai deara zhan ta maga ko x dincha bhanera saaf thagi it literally states layers pcs ang gives you pcs so sad daraz,negative,0
"Gemei Order gareko Geemy aayo, yo fraud vayana Ra?",gemei order gareko geemy aayo yo fraud vayana ra,negative,0
expectations exceeded 🤘🤘,expectations exceeded,positive,1
ekdam ramro xa cover,ekdam ramro xa cover,positive,1
"dami fast chaleko xa tara ssd 128 vanda 256 ko kinda thik hunxa ,mero storage full huna lagi sako  around 50 gb left  ....",dami fast chaleko xa tara ssd vanda ko kind of thik hunxa mero storage full huna lagi sako around gb left,positive,1
Dherai ramro xa,dherai ramro xa,positive,1
Gazzab kaam chalira chha .,gazzab kaam chalira chha,positive,1
ali patalo chaina! Ramro cha quality,ali patalo chaina ramro cha quality,positive,1
fata haru watch dekhda ramro sala mechanism chai purai low quality halako6 suruma kina chaldaina vanako thya battery sakiyo hola vanako thya naya battery hala feri pani chaldaina pa6i thapaya yesko watch mechanism purai low quality ko halako6 vanna ....,fata haru watch dekhda ramro sala mechanism chai purai low quality halako suruma kina chaldaina vanako thya battery sakiyo hola vanako thya naya battery hala feri pani chaldaina pa i thapaya yesko watch mechanism purai low quality ko halako vanna,negative,0
hawa store...auta order gareko chu.arko pathako cha...,hawa store auta order gareko chu arko pathako cha,negative,0
dami xa,dami xa,positive,1
dekhaune arko patahune arko,dekhaune arko patahune arko,negative,0
